"i","j","x"
16,86,0.0225935480903141
4,88,0.106753261996326
5,88,0.0697534212949727
12,88,-0.00621532682451054
15,88,0.0557610473575499
20,88,0.334811066800178
23,88,-0.00563882107349623
62,88,0.0938990725796708
64,88,0.0259078645338867
7,89,0.116271372771952
12,89,0.418827791563353
17,90,0.0823769103624089
25,90,0.0239449159795239
42,90,-0.00730390865303188
54,90,0.0508431847115814
63,90,0.0315044229792844
67,90,0.076583017282403
51,91,0.281713363945283
32,92,0.0231360860500709
40,92,0.0924436862542138
44,92,0.288289008687439
16,93,-0.0116548749329443
54,93,0.0364049957058913
56,93,0.16713838865896
63,93,0.0194536203569441
86,93,-0.0109415158613556
90,93,0.0128237462138116
48,95,0.0900795565711618
21,96,0.106260895191828
55,96,0.0452054962954933
74,96,0.0624338027703377
14,97,0.333584831221034
52,97,0.254111540313619
22,98,0.0103657731039689
39,98,0.208222320504642
55,98,0.192508435584234
15,99,0.0279406597088601
78,99,0.0127383587782694
7,100,0.00768016608965236
44,100,-0.0550853951384745
54,100,-0.0327629670670407
3,101,0.113050343142804
8,101,0.0868245698988529
60,101,0.243041455809151
20,102,-0.0299801802635179
31,102,0.181597976482972
57,102,-0.00380401925251822
7,103,0.538454312662144
51,103,0.392403831399337
7,104,0.0132070021858849
44,105,0.114134264721796
50,105,0.0827836832199008
66,105,0.171075434007561
77,105,0.323107489652008
7,107,0.123998112452761
20,107,0.000556487286982543
59,107,0.0166536696961641
68,108,0.126345867911184
74,108,0.0686993535034637
41,109,0.254063865117742
73,109,0.00792539691021527
74,109,0.00999008048825684
79,109,0.0085839589470581
88,109,-0.00513900667500175
107,110,0.423116257373809
31,111,0.146278268567994
44,111,-0.00461974745421651
14,112,0.00485012092415824
52,112,0.143273531319687
82,112,0.294360425603699
97,112,0.128550473212001
29,113,0.0350553183517925
48,113,0.200426551736504
95,113,0.231514338247659
56,114,0.0872216038930899
63,114,0.0280557815240669
67,114,0.015169285439749
93,114,0.127613994603428
35,115,0.0160873894513634
7,116,-0.0206951822224389
9,116,0.0631318057843167
13,116,0.00899470661382631
63,116,0.00570937852867717
90,116,0.000315789793397969
93,116,0.0840131780227663
7,117,0.0216713293920013
2,118,0.014360734759886
4,118,0.0457106913398781
7,118,0.000885782127559603
20,118,0.00921263464149555
32,118,-0.00282025142039347
41,118,0.0297621581315831
53,118,0.222474395860939
57,118,0.268640565845905
102,118,-0.0210946227419221
2,120,0.110934906247059
38,120,0.194803744164974
72,120,0.15694855377746
11,121,0.025669110300781
16,121,0.051486227646078
26,121,0.0325419333068978
27,121,0.0804828897264057
20,122,-0.0910553713242629
57,122,-0.00730812890858012
75,122,0.0160209176026883
118,122,-0.0163431707608196
6,123,0.0433029564567446
23,123,0.351681199342561
39,123,0.00322667718618874
41,123,0.0786930225946484
65,123,0.00186813241774092
76,124,0.100853289688333
90,124,0.0125489817777948
14,125,0.0113494090746385
52,125,0.114648963098939
97,125,0.406460382842489
112,125,0.0124152133660612
82,126,0.0609054691203748
112,126,0.14742521972979
125,126,0.107351349039833
9,127,0.0576327559077322
13,127,0.0191033814737852
116,127,0.00689448245717419
3,128,0.0173272159602038
8,128,0.0939960591222943
80,128,0.0198541428847937
51,129,0.198814210440567
103,129,0.24961668634206
16,130,0.0835563204434125
27,130,0.0872089531171668
35,130,0.452924813216817
42,130,0.0863383302593802
63,130,-0.00870103691753293
51,131,0.00255274206549047
73,131,0.145252837961931
74,131,0.0201270730338003
79,131,0.00184653920052325
109,131,0.0134337753330356
20,132,0.0270858286580213
7,133,0.0548244992553482
57,133,0.018121447400867
118,133,0.0292830317875421
49,134,0.511526353430869
82,134,0.147945463417782
97,134,0.140503866496014
112,134,0.0361936203071177
125,134,0.0597543174592767
126,134,0.165368509053027
93,135,-0.0327655262036254
130,135,0.0160880870888105
16,136,0.0253983281198337
1,137,0.0291028458881517
4,137,0.0306504542431694
7,137,0.12260509717576
12,137,-0.068689840886914
18,137,-0.00134917272787971
20,137,0.125053203640544
21,137,0.305327937632965
23,137,-0.0458284441139009
32,137,-0.0605981789298926
39,137,0.0546394532107435
41,137,0.0644830476070131
50,137,-0.00652545102867105
57,137,0.0106979386666763
59,137,0.12748478730977
63,137,-0.00885958551475874
81,137,0.0508587421402043
88,137,0.0364785957283349
89,137,0.0181003597888666
100,137,0.0199122269855254
107,137,0.0570356748270686
117,137,0.0200101296483604
118,137,0.110989778306367
123,137,0.0511765851572579
133,137,0.120279535744887
42,138,-0.0294290833353569
54,138,0.0135848142414623
56,138,0.0887931776472206
67,138,0.00697253858810851
76,138,0.022882265122362
86,138,-0.0139351085617976
90,138,0.0359195318940857
93,138,0.0106003836665217
124,138,0.0508652096616435
21,140,0.298926506447066
55,140,0.0385670772321252
74,140,0.0492202567158278
96,140,0.186203767121975
7,142,-0.00799087168664198
20,142,-0.0950610714626603
39,142,-0.0314465752505075
59,142,-0.0034837833278791
74,142,0.182809675536957
75,142,0.0291568257655672
96,142,0.222282973943863
108,142,0.0267753340270523
131,144,0.26674066605258
3,145,0.0665723817883148
8,145,0.115426148490345
80,145,0.00237089460985679
101,145,0.00379078047043005
128,145,0.14749087777938
9,146,0.0104968065566715
20,146,0.0905675672447412
46,146,-0.0226399407869931
88,146,0.00943025554578261
